,Year,Month,level_1,y_test_values,predictions
1133,2018,12,Ida B. Wells - Darrow Homes,308205,307223
1193,2018,12,Jackson Park Highlands,512541,516664
1199,2018,12,South Loop,366061,367286
1213,2018,12,South Commons,118149,117718
1249,2018,12,Beverly Woods,216688,213464
0,2019,1,Roscoe Village,746765,748572
87,2019,1,South Old Irving Park,338601,335097
139,2019,1,Brighton Park,180224,179511
149,2019,1,South Loop,365169,364793
161,2019,1,Fulton River District,456675,456332
180,2019,1,Hyde Park,390420,390267
200,2019,1,West De Paul,776034,778548
225,2019,1,Near North,417538,417228
247,2019,1,Ranch Triangle,732030,732879
263,2019,1,Scottsdale,192496,191960
267,2019,1,Peterson Park,369434,367987
314,2019,1,West Loop Gate,343938,343212
330,2019,1,Altgeld Gardens,95171,93990
341,2019,1,Big Oaks,293178,294916
387,2019,1,Calumet Heights,137573,139278
393,2019,1,The Robert Taylor Homes,101571,103710
402,2019,1,Cragin,259053,260913
425,2019,1,Greektown,437630,431836
439,2019,1,South Shore,105092,105742
442,2019,1,Lake Calumet,108685,111577
464,2019,1,Old Town,400594,398231
472,2019,1,South Deering,87868,89855
477,2019,1,Parkview,174209,172656
500,2019,1,Chinatown,332589,334727
514,2019,1,Jackson Park Highlands,504855,506439
517,2019,1,Little Village,146705,147378
559,2019,1,Near West Side,400280,402460
633,2019,1,Bronzeville,248631,249086
645,2019,1,Dunning,259604,261552
649,2019,1,Ukrainian Village,487532,480645
702,2019,1,The Loop,399900,397406
726,2019,1,Tally's Corner,334093,332919
782,2019,1,Edgebrook,448108,448399
804,2019,1,Albany Park,319685,320867
806,2019,1,Stateway Gardens,242896,240712
831,2019,1,Lathrop Homes,579734,577546
860,2019,1,Chatham,142315,143481
897,2019,1,Beverly,338584,340598
969,2019,1,East Hyde Park,238176,237904
990,2019,1,Ida B. Wells - Darrow Homes,307878,307513
998,2019,1,Heart of Italy,251921,247703
1006,2019,1,North Park,333698,332534
1027,2019,1,Belmont Heights,269606,271577
1037,2019,1,Marquette Park,156481,158841
1065,2019,1,Avondale,394698,394463
1085,2019,1,Marynook,155023,156322
1106,2019,1,Cottage Grove Heights,110504,110667
1142,2019,1,Norwood Park West,321381,322223
1195,2019,1,East Side,120650,120717
1219,2019,1,Rogers Park,218888,219496
1233,2019,1,Sleepy Hollow,183346,183163
1234,2019,1,Archer Heights,198954,198901
11,2019,2,The Island,188638,190899
14,2019,2,Ukrainian Village,483691,480645
26,2019,2,Oakland,331112,328832
56,2019,2,Old Irving Park,404718,403728
80,2019,2,Gage Park,155078,154519
93,2019,2,Albany Park,320104,320867
117,2019,2,Noble Square,473144,476123
151,2019,2,Old Town Triangle,504403,503137
167,2019,2,Old Edgebrook,664235,668415
175,2019,2,Ravenswood Gardens,590403,585090
198,2019,2,River North,355837,357088
227,2019,2,New Eastside,511220,508489
228,2019,2,Mount Greenwood,238713,239198
233,2019,2,Burnside,118571,117571
235,2019,2,Lakewood - Balmoral,1035175,1034341
243,2019,2,Jefferson Park,307163,305513
304,2019,2,East Garfield Park,158148,159502
455,2019,2,Stony Island Park,154488,153374
476,2019,2,Chinatown,332804,334727
506,2019,2,Ravenswood,473301,472799
557,2019,2,Hanson Park,235045,235451
561,2019,2,Belmont Central,257587,256975
601,2019,2,Pilsen,308821,309902
661,2019,2,North Mayfair,313500,315164
664,2019,2,Near West Side,400312,402460
672,2019,2,Wildwood,438915,437961
731,2019,2,Jackson Park Highlands,505340,506439
739,2019,2,Marquette Park,157469,158841
781,2019,2,Hermosa,247165,244567
787,2019,2,Brynford Park,370183,368853
792,2019,2,West Beverly,256786,254619
821,2019,2,Bucktown,577434,576921
822,2019,2,East Pilsen,338563,337296
824,2019,2,Illinois Medical District,219261,220034
827,2019,2,Oriole Park,311254,310254
867,2019,2,Uptown,293171,293761
868,2019,2,Garfield Ridge,232114,231750
894,2019,2,Brainerd,132574,130918
905,2019,2,Fifth City,187251,186174
958,2019,2,Mayfair,318236,319074
996,2019,2,Heart of Italy,250196,247703
1061,2019,2,Canaryville,249034,248558
1068,2019,2,Washington Park,113980,111065
1074,2019,2,East Ukrainian Village,515409,518338
1108,2019,2,Calumet River,74042,73511
1157,2019,2,South Old Irving Park,338472,335097
1168,2019,2,North Austin,192651,192512
1181,2019,2,Sauganash,430947,430897
1183,2019,2,O'Hare International Airport,342922,339157
1205,2019,2,Forest Glen,368435,367681
1241,2019,2,West Elsdon,191437,191901
2,2019,3,West Humboldt Park,180238,180179
6,2019,3,West Englewood,72956,73723
28,2019,3,Washington Heights,135463,133754
49,2019,3,Norwood Park East,335315,333364
153,2019,3,Lake Calumet,112975,111577
159,2019,3,Edgebrook,447928,448399
185,2019,3,Ukrainian Village,481010,480645
212,2019,3,Bowmanville,508979,499224
249,2019,3,Arcadia Terrace,341963,339744
312,2019,3,East Beverly,230681,227244
322,2019,3,Hermosa,248981,251826
331,2019,3,Ravenswood Gardens,593887,594448
359,2019,3,Mayfair,319097,318356
377,2019,3,Kilbourn Park,294604,292559
384,2019,3,Wrigleyville,482117,482005
405,2019,3,Chrysler Village,161208,160865
410,2019,3,Wildwood,438868,438234
421,2019,3,Mount Greenwood Heights,261478,263035
432,2019,3,Woodlawn,175863,174690
450,2019,3,Sauganash,430977,431772
483,2019,3,South Old Irving Park,338687,335097
489,2019,3,South Austin,163471,161816
490,2019,3,Galewood,267622,266746
518,2019,3,South Deering,91662,89855
543,2019,3,Irving Park,397529,398465
575,2019,3,Riverdale,59075,59894
609,2019,3,Kennedy Park,232283,229002
644,2019,3,Kenwood,343496,341993
663,2019,3,The Villa,519773,518869
699,2019,3,Old Town Triangle,506362,507509
703,2019,3,Lake View East,314568,313817
743,2019,3,Lake Meadows,326867,325997
766,2019,3,Roscoe Village,750599,748572
775,2019,3,Lincoln Square,405444,403277
834,2019,3,Winneconna Parkway,98904,98657
835,2019,3,Jefferson Park,308851,309026
896,2019,3,Pill Hill,139159,138762
915,2019,3,McKinley Park,240286,241559
918,2019,3,Little Village,149152,147378
949,2019,3,Rosemoor,131982,132339
971,2019,3,University Village - Little Italy,359115,358249
980,2019,3,Brynford Park,371417,372950
1028,2019,3,Schorsch Village,292445,290519
1034,2019,3,Beverly,342051,340598
1052,2019,3,Old Irving Park,406313,407160
1093,2019,3,Cabrini Green,437197,435639
1145,2019,3,West Morgan Park,268130,266649
1163,2019,3,Lake View,532778,531797
1179,2019,3,Calumet River,74356,73528
1215,2019,3,Kelvin Park,267149,264838
1231,2019,3,Beverly View,155870,154885
1,2019,4,McKinley Park,238309,241559
21,2019,4,West Pullman,97091,96977
70,2019,4,West Chesterfield,144825,143198
108,2019,4,South Chicago,114889,113984
164,2019,4,LeClaire Courts,178345,179107
181,2019,4,Kennedy Park,234067,234346
207,2019,4,The Bush,69900,70166
218,2019,4,Parkview,172992,171810
229,2019,4,Illinois Medical District,214282,215996
255,2019,4,The Island,191280,189902
283,2019,4,The Robert Taylor Homes,107066,105679
291,2019,4,Arcadia Terrace,342595,342257
294,2019,4,Cabrini Green,439782,442394
310,2019,4,East Garfield Park,161363,158935
323,2019,4,West Rogers Park,300198,299667
327,2019,4,South Austin,165372,166610
371,2019,4,West Garfield Park,119021,116335
374,2019,4,Hanson Park,237128,235925
414,2019,4,Albany Park,320695,320867
423,2019,4,Fernwood,89818,88690
574,2019,4,West Englewood,71620,69506
578,2019,4,West Chatham,112500,112717
582,2019,4,Ukrainian Village,481676,480645
585,2019,4,River North,354037,354437
616,2019,4,Near West Side,405080,402460
690,2019,4,The Loop,395206,395997
736,2019,4,Belmont Heights,273803,272956
741,2019,4,West Town,485072,483073
742,2019,4,Calumet Heights,141900,140516
756,2019,4,East Chatham,93672,92061
769,2019,4,Schorsch Forest View,339032,334195
859,2019,4,South Shore,109147,107496
874,2019,4,Wrigleyville,482589,482005
883,2019,4,Ida B. Wells - Darrow Homes,309457,308201
889,2019,4,River's Edge,614683,614024
942,2019,4,Irving Park,397543,398465
987,2019,4,Peterson Park,371942,369654
1002,2019,4,East Beverly,232746,234172
1018,2019,4,Stony Island Park,157934,156259
1023,2019,4,Homan Square,188509,184323
1097,2019,4,Big Oaks,296679,296583
1170,2019,4,Lakewood - Balmoral,1048245,1038755
1208,2019,4,Lake View East,315198,313817
1232,2019,4,Fulton River District,460960,457906
1250,2019,4,Altgeld Gardens,93234,92910
17,2019,5,University Village - Little Italy,361280,360797
111,2019,5,East Garfield Park,164320,166149
192,2019,5,Riverdale,58415,58244
221,2019,5,Winneconna Parkway,103748,101062
226,2019,5,Chrysler Village,162855,161618
279,2019,5,West Elsdon,193705,192214
333,2019,5,Graceland West,646037,647420
382,2019,5,Near North,421296,419699
396,2019,5,West Garfield Park,121527,123809
419,2019,5,Goose Island,483370,482823
444,2019,5,Sheffield Neighbors,1043598,1044495
485,2019,5,The Island,193493,193382
555,2019,5,Fuller Park,105339,103734
567,2019,5,Lakewood - Balmoral,1047259,1041276
569,2019,5,Cragin,264573,264570
572,2019,5,Old Edgebrook,656460,659418
604,2019,5,Edgewater Glen,460586,459143
612,2019,5,Wrigleyville,481932,480037
621,2019,5,Irving Park,396285,398465
648,2019,5,Ukrainian Village,481853,480645
652,2019,5,Old Norwood Park,400837,400926
655,2019,5,Roscoe Village,750019,752480
659,2019,5,Scottsdale,193458,192504
665,2019,5,O'Hare,300331,299103
691,2019,5,Ravenswood,481402,480781
733,2019,5,South Commons,121548,121185
759,2019,5,North Kenwood,295293,294061
795,2019,5,The Bush,68263,66436
862,2019,5,Kenwood,345017,344949
878,2019,5,Wicker Park,562100,563290
899,2019,5,Belmont Gardens,269665,270877
906,2019,5,Noble Square,470969,471953
909,2019,5,Groveland Park,377602,375956
926,2019,5,West Lawn,201579,200974
927,2019,5,Fifth City,191166,189644
937,2019,5,Jefferson Park,308563,309026
960,2019,5,Park Manor,95578,95585
1026,2019,5,Gresham,131542,131185
1030,2019,5,Andersonville,455241,454669
1050,2019,5,Edison Park,361129,362131
1089,2019,5,North Center,742928,745266
1117,2019,5,Canaryville,247561,247760
1123,2019,5,South Loop,373451,370319
1132,2019,5,Hermosa,253816,251826
1166,2019,5,West Rogers Park,299464,298838
1171,2019,5,West Woodlawn,106494,107095
1184,2019,5,Uptown,297035,295834
1185,2019,5,Sauganash Woods,403026,403447
1194,2019,5,McKinley Park,236174,234616
1220,2019,5,Lake View East,315240,313541
1223,2019,5,Longwood Manor,138921,139056
29,2019,6,Pill Hill,140134,140389
68,2019,6,Wildwood,435337,437308
82,2019,6,Hollywood Park,335252,336157
90,2019,6,Galewood,265382,267830
92,2019,6,East Hyde Park,238423,239808
129,2019,6,West Humboldt Park,182484,180344
133,2019,6,Mount Greenwood,240426,240633
158,2019,6,Printers Row,265656,265798
195,2019,6,Old Town,397231,397561
211,2019,6,Stateway Gardens,241129,239363
213,2019,6,Kelvin Park,268219,268752
216,2019,6,Cottage Grove Heights,106147,107065
254,2019,6,North Mayfair,310018,310788
269,2019,6,Peterson Park,371496,372076
275,2019,6,Pilsen,312561,312350
296,2019,6,Tri-Taylor,255661,257109
362,2019,6,Hermosa,255543,256080
426,2019,6,Hegewisch,134502,135007
434,2019,6,Edison Park,359441,357367
457,2019,6,LeClaire Courts,182388,180562
458,2019,6,Brainerd,135904,135560
484,2019,6,Ranch Triangle,728598,732891
499,2019,6,Fuller Park,106651,107113
501,2019,6,The Villa,512989,516646
504,2019,6,Fulton River District,465308,464190
534,2019,6,West Lawn,201662,201203
570,2019,6,Lathrop Homes,578752,579303
584,2019,6,Dearborn Park,450726,451036
608,2019,6,Ravenswood Gardens,590698,592348
629,2019,6,Wicker Park,560492,559234
630,2019,6,Gage Park,159112,158570
679,2019,6,East Chatham,94247,94040
700,2019,6,Scottsdale,193726,194189
714,2019,6,West Woodlawn,105912,107095
725,2019,6,Cragin,263574,264570
727,2019,6,Greektown,421212,421005
732,2019,6,Tally's Corner,340630,336010
745,2019,6,Brynford Park,372616,373550
784,2019,6,Old Edgebrook,651833,648037
790,2019,6,Sheffield Neighbors,1039410,1036422
826,2019,6,Ukrainian Village,481108,480645
830,2019,6,Altgeld Gardens,94814,94332
898,2019,6,Lithuanian Plaza,152649,150909
914,2019,6,West Loop Gate,345574,345754
934,2019,6,Archer Heights,202543,200435
941,2019,6,North Kenwood,294643,294061
993,2019,6,Old Town Triangle,505308,507057
1004,2019,6,Lake Meadows,340633,335052
1008,2019,6,Edgebrook,445836,447210
1041,2019,6,Irving Park,394567,391311
1048,2019,6,Washington Heights,133384,134749
1058,2019,6,O'Hare,300917,299103
1099,2019,6,Forest Glen,366884,369518
1102,2019,6,Edgewater Glen,459502,457937
1103,2019,6,Near West Side,406273,407224
1126,2019,6,River West,455328,455974
1182,2019,6,Norwood Park West,321139,323541
1204,2019,6,Near North,421828,419699
1235,2019,6,Lake View East,314329,313541
1236,2019,6,Arcadia Terrace,341198,342257
1243,2019,6,Oakland,335437,337293
19,2019,7,North Mayfair,309453,308891
57,2019,7,Woodlawn,172397,174257
135,2019,7,Fernwood,89137,89331
152,2019,7,Riverdale,57122,57779
174,2019,7,Near North,420729,418345
203,2019,7,Heart of Chicago,252439,255803
215,2019,7,East Chatham,93224,94040
245,2019,7,Goose Island,482565,482807
266,2019,7,Old Town Triangle,504233,507057
287,2019,7,Pulaski Park,359957,360663
295,2019,7,Greektown,426297,430936
305,2019,7,Lathrop Homes,577897,575891
315,2019,7,South Deering,94941,93930
326,2019,7,East Ukrainian Village,510554,510985
353,2019,7,Near West Side,404714,407224
364,2019,7,Washington Heights,130762,134749
372,2019,7,Morgan Park,153128,153783
422,2019,7,Beverly View,154598,156867
440,2019,7,West Humboldt Park,183927,183589
459,2019,7,River's Edge,601611,605419
480,2019,7,Stateway Gardens,242320,239363
541,2019,7,Garfield Ridge,237104,235697
598,2019,7,Chrysler Village,167846,165067
603,2019,7,Ravenswood,480630,481607
658,2019,7,O'Hare,300296,298714
668,2019,7,Cragin,261629,259771
697,2019,7,Marynook,159920,160245
701,2019,7,Princeton Park,114667,114223
754,2019,7,Gold Coast,524590,525153
776,2019,7,North Center,735525,738915
820,2019,7,The Bush,64890,66436
845,2019,7,Andersonville,451998,454363
846,2019,7,Edgebrook,444460,440694
847,2019,7,North Kenwood,292742,291499
848,2019,7,Longwood Manor,138471,139043
877,2019,7,West Pullman,98323,97642
882,2019,7,South Shore,109837,110017
970,2019,7,Roseland,92492,93678
994,2019,7,Forest Glen,365388,364536
1015,2019,7,LeClaire Courts,183642,183278
1019,2019,7,Gresham,128270,129962
1020,2019,7,River North,351675,352034
1033,2019,7,West Woodlawn,105101,104772
1071,2019,7,East Beverly,235312,235157
1090,2019,7,Sauganash,431983,432389
1092,2019,7,Irving Park,393840,391311
1096,2019,7,Beverly Woods,218377,219440
1165,2019,7,Gladstone Park,311440,312393
1174,2019,7,Stony Island Park,155748,156694
1180,2019,7,West De Paul,777040,779472
1190,2019,7,Cottage Grove Heights,106245,106810
1203,2019,7,Grand Crossing,101781,104941
1237,2019,7,Brainerd,135330,135560
1240,2019,7,Pilsen,312654,312350
59,2019,8,Wrightwood,182276,182156
72,2019,8,Belmont Central,254762,256537
94,2019,8,Ukrainian Village,479144,480645
109,2019,8,West Town,482077,485316
126,2019,8,Norwood Park West,315445,318701
127,2019,8,Pilsen,312021,311050
156,2019,8,Homan Square,196652,196294
199,2019,8,Portage Park,292942,294894
256,2019,8,Graceland West,637739,640066
289,2019,8,Brainerd,136089,135332
300,2019,8,Edgewater,238349,239337
318,2019,8,Gold Coast,521990,519262
347,2019,8,Roscoe Village,741005,743473
390,2019,8,Little Village,145459,144925
398,2019,8,West Morgan Park,265721,267045
399,2019,8,The Island,191428,193180
461,2019,8,Marycrest,244747,245048
494,2019,8,Fuller Park,107392,107113
516,2019,8,Pill Hill,140255,140778
552,2019,8,Schorsch Village,292435,293287
605,2019,8,Chatham,142411,144527
617,2019,8,Washington Heights,129793,129146
646,2019,8,West Loop Gate,342854,344396
660,2019,8,McKinley Park,231284,233771
662,2019,8,South Loop,374994,375502
724,2019,8,Canaryville,244072,244999
767,2019,8,The Robert Taylor Homes,103501,104721
780,2019,8,Near West Side,402999,401925
794,2019,8,South Shore,110182,111533
801,2019,8,West De Paul,775574,771265
825,2019,8,Winneconna Parkway,103631,104276
853,2019,8,South Commons,120097,120051
902,2019,8,Old Town Triangle,502345,500504
916,2019,8,Stateway Gardens,244614,247194
924,2019,8,East Chatham,91945,90415
925,2019,8,Jefferson Park,303510,305676
988,2019,8,North Kenwood,292453,291499
992,2019,8,Lake View,527428,529652
997,2019,8,Albany Park,315928,317941
1051,2019,8,West Englewood,64590,65862
1120,2019,8,University Village - Little Italy,357068,359124
1124,2019,8,West Chesterfield,141748,142093
1131,2019,8,Lincoln Square,403708,405290
1135,2019,8,West Pullman,98798,98860
1176,2019,8,Kenwood,344947,345792
1246,2019,8,East Hyde Park,231912,235641
1248,2019,8,Uptown,297473,297618
34,2019,9,Cabrini Green,453187,453199
47,2019,9,West Morgan Park,263071,267045
63,2019,9,North Mayfair,308448,308891
95,2019,9,Kennedy Park,236131,236277
141,2019,9,Longwood Manor,137653,138665
145,2019,9,Chicago Lawn,162543,162272
194,2019,9,Budlong Woods,306159,307408
201,2019,9,Schorsch Village,290017,293287
208,2019,9,Mayfair,306273,308134
222,2019,9,Clearing,225759,226108
268,2019,9,Lathrop Homes,573443,575891
290,2019,9,Irving Park,388514,391311
320,2019,9,Avondale,391814,392421
334,2019,9,Burnside,120373,120417
337,2019,9,Gladstone Park,308862,310541
363,2019,9,The Bush,64599,64350
383,2019,9,Kenwood,343003,345792
401,2019,9,Lake Meadows,337892,340473
467,2019,9,Marycrest,244239,246197
497,2019,9,Canaryville,245962,248087
503,2019,9,Lincoln Park,528773,531079
554,2019,9,Mount Greenwood Heights,258233,258849
568,2019,9,Chinatown,340360,340495
571,2019,9,South Loop,374778,374927
587,2019,9,University Village - Little Italy,356080,355259
589,2019,9,Stateway Gardens,245718,247194
666,2019,9,Bronzeville,252637,253366
670,2019,9,Noble Square,461589,463435
693,2019,9,Tally's Corner,346359,346522
705,2019,9,Roscoe Village,738562,735476
707,2019,9,Bucktown,571835,573443
785,2019,9,Belmont Central,252996,251415
803,2019,9,Lakewood - Balmoral,1028961,1033400
811,2019,9,Old Edgebrook,644030,644671
885,2019,9,South East Ravenswood,836800,839478
923,2019,9,Old Town Triangle,501230,500504
968,2019,9,South Deering,95716,95447
972,2019,9,East Chatham,90793,90415
976,2019,9,Portage Park,290690,288501
982,2019,9,Park Manor,97506,96274
1003,2019,9,Sauganash Woods,396460,398729
1022,2019,9,Gage Park,159342,159003
1024,2019,9,Woodlawn,171032,170742
1031,2019,9,Near North,416733,418345
1043,2019,9,Magnolia Glen,405257,405422
1055,2019,9,West Humboldt Park,181888,183589
1079,2019,9,Fifth City,192298,192752
1083,2019,9,Calumet Heights,139940,140890
1109,2019,9,River North,350414,351133
1139,2019,9,Oakland,332040,333466
1143,2019,9,Ukrainian Village,478460,480645
1148,2019,9,Heart of Italy,236033,236848
1178,2019,9,Marquette Park,162140,162258
1200,2019,9,Greektown,433475,430936
1201,2019,9,Albany Park,313498,311613
1225,2019,9,Arcadia Terrace,334524,336087
1238,2019,9,West Woodlawn,105160,104772
1247,2019,9,Forest Glen,363950,364536
3,2019,10,Douglas Park,180645,180715
13,2019,10,Edison Park,351527,352250
45,2019,10,Belmont Gardens,262255,263230
136,2019,10,River North,349952,349275
143,2019,10,Bucktown,569712,568671
163,2019,10,West Beverly,257839,259266
165,2019,10,Princeton Park,111942,112715
173,2019,10,Beverly,336451,339172
184,2019,10,Old Irving Park,393885,396687
202,2019,10,Pilsen,309189,311050
237,2019,10,Jefferson Park,299751,301764
238,2019,10,Bronzeville,252418,253366
272,2019,10,Lake View,522957,525413
288,2019,10,Beverly Woods,224218,221565
297,2019,10,Tally's Corner,347385,345180
328,2019,10,Wrigleyville,468916,472021
346,2019,10,Little Village,146509,145900
391,2019,10,Ukrainian Village,478821,479488
453,2019,10,Hermosa,249944,252386
462,2019,10,The Gap,379031,376423
481,2019,10,South Shore,112158,111533
509,2019,10,Lakewood - Balmoral,1027331,1031623
532,2019,10,Lake View East,307496,309496
576,2019,10,West Morgan Park,260389,259324
610,2019,10,The Island,186728,188512
619,2019,10,O'Hare,295290,296609
632,2019,10,Edgewater Glen,456171,455775
708,2019,10,South Chicago,110953,112782
746,2019,10,West Chesterfield,142110,141658
752,2019,10,North Kenwood,292367,291499
799,2019,10,Brynford Park,363911,365074
809,2019,10,Rogers Park,218018,218470
842,2019,10,Lake Meadows,338491,337872
852,2019,10,Pullman,95325,95141
869,2019,10,Bowmanville,522262,517138
903,2019,10,Kenwood,341547,340470
919,2019,10,Graceland West,634186,635811
946,2019,10,Schorsch Village,285811,282124
985,2019,10,Arcadia Terrace,335732,336892
1025,2019,10,Mount Greenwood,236832,237078
1063,2019,10,Oakland,332381,333466
1078,2019,10,West Lawn,198858,199080
1084,2019,10,Roseland,88861,89138
1137,2019,10,West Pullman,99531,98860
1150,2019,10,Rosemoor,126913,124858
1154,2019,10,West Elsdon,195328,194831
1156,2019,10,East Garfield Park,165124,165296
1160,2019,10,Kilbourn Park,277195,278951
1172,2019,10,Altgeld Gardens,94000,94264
1177,2019,10,Groveland Park,369389,366916
1202,2019,10,Beverly View,159102,156134
1230,2019,10,River's Edge,596349,597935
1251,2019,10,West Rogers Park,296562,296452
30,2019,11,Hyde Park,394633,396097
40,2019,11,Near West Side,400639,401111
103,2019,11,Mount Greenwood,236191,237078
114,2019,11,Brighton Park,181762,180298
157,2019,11,Lake View,521748,520873
179,2019,11,Old Norwood Park,392760,394617
230,2019,11,Albany Park,311322,311613
239,2019,11,Mayfair,304573,305108
262,2019,11,West De Paul,764905,767824
274,2019,11,Beverly Woods,226053,225996
319,2019,11,Canaryville,250510,248087
368,2019,11,University Village - Little Italy,355507,355259
392,2019,11,Portage Park,286752,288501
407,2019,11,Woodlawn,170429,171057
443,2019,11,South Old Irving Park,315655,317367
475,2019,11,The Robert Taylor Homes,105479,104739
486,2019,11,Streeterville,460447,461209
498,2019,11,West Loop Gate,340431,341159
519,2019,11,Schorsch Village,283081,282124
550,2019,11,West Garfield Park,121298,121328
562,2019,11,Wicker Park,553267,554003
564,2019,11,North Center,728238,728099
586,2019,11,Old Town,390236,390970
599,2019,11,Wrightwood Neighbors,658463,660542
611,2019,11,River's Edge,595364,597935
674,2019,11,Peterson Park,372304,371551
706,2019,11,Englewood,52790,52754
710,2019,11,Old Irving Park,392605,392062
716,2019,11,South Chicago,108822,106832
717,2019,11,Sauganash Woods,394686,394751
720,2019,11,Irving Woods,265367,266318
791,2019,11,Edison Park,349927,348698
807,2019,11,Old Town Triangle,499817,500504
808,2019,11,Burnside,121592,121101
816,2019,11,Oakland,332849,333466
865,2019,11,Belmont Central,249769,251415
887,2019,11,East Beverly,232159,233579
892,2019,11,Belmont Heights,263612,263741
910,2019,11,Magnolia Glen,405746,405950
963,2019,11,Uptown,295028,295759
1005,2019,11,Bronzeville,252149,252183
1011,2019,11,Hollywood Park,335166,335143
1045,2019,11,Dunning,256860,257288
1062,2019,11,Princeton Park,113692,112715
1066,2019,11,Lake Calumet,121020,119229
1080,2019,11,Sheffield Neighbors,1024819,1026673
1146,2019,11,Kilbourn Park,276277,275780
1159,2019,11,Illinois Medical District,233368,230991
1173,2019,11,Norwood Park West,309944,312183
16,2019,12,West Morgan Park,259262,259324
32,2019,12,Princeton Park,115134,112715
81,2019,12,The Island,188344,186473
85,2019,12,Brighton Park,183459,180298
182,2019,12,Lithuanian Plaza,154657,155568
189,2019,12,Woodlawn,168440,171057
280,2019,12,Hanson Park,225734,227164
284,2019,12,Schorsch Forest View,334967,335170
332,2019,12,Marquette Park,159729,160372
344,2019,12,Illinois Medical District,232729,230991
356,2019,12,Fernwood,88828,89077
361,2019,12,Eden Green,62096,59853
367,2019,12,Groveland Park,371627,371150
412,2019,12,West Loop Gate,340505,341159
452,2019,12,Peterson Park,373073,371551
466,2019,12,Edgewater Glen,457257,455746
522,2019,12,Irving Park,383776,384298
530,2019,12,Parkview,172843,173639
577,2019,12,East Beverly,228440,233579
625,2019,12,University Village - Little Italy,355186,355259
647,2019,12,Douglas Park,178426,179334
651,2019,12,Washington Park,120686,120327
712,2019,12,Dunning,256573,257288
751,2019,12,North Park,330191,324808
757,2019,12,River's Edge,596855,597935
768,2019,12,Norwood Park West,308376,312183
777,2019,12,East Side,126940,126143
786,2019,12,Kenwood,339414,340470
810,2019,12,Brainerd,133264,133894
817,2019,12,Homan Square,199258,197193
839,2019,12,Wicker Park,552409,554003
890,2019,12,Mount Greenwood,235707,237078
912,2019,12,West Town,479508,479314
920,2019,12,Edgebrook,433601,434811
932,2019,12,Oakland,334448,333466
947,2019,12,Old Edgebrook,646333,647157
951,2019,12,Noble Square,459124,459665
999,2019,12,East Ukrainian Village,506023,506487
1007,2019,12,Jefferson Park,297327,297826
1014,2019,12,Golden Gate,49025,47637
1038,2019,12,Lathrop Homes,567755,569481
1073,2019,12,West Englewood,65184,64907
1088,2019,12,Pilsen,306545,308449
1112,2019,12,Gladstone Park,301945,302868
1119,2019,12,Cabrini Green,439776,445940
1147,2019,12,West Garfield Park,119683,121328
1155,2019,12,West Woodlawn,104733,106288
1167,2019,12,Brynford Park,364341,363926
1169,2019,12,East Pilsen,350790,351776
